time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","VMG - Velocity Made Good","GPS Satellites","GPS HAcc","Battery Charge","Battery 1 Voltage","Battery 1 Temperature"
"2024-03-01 05:54:14.7","2024-03-01 09:01:03.612",32.488785,34.889831,246.49,0.02999811,246.49,,,0.86,-29.3,,7,11.3,38,3.697,-252.8
"2024-03-01 05:54:15.7","2024-03-01 09:01:03.612",32.488783,34.889826,246.32,0.03680397,246.32,,,0.86,-29.3,,7,3.182,37,3.695,-253
"2024-03-01 05:54:16.7","2024-03-01 09:01:03.613",32.488783,34.889825,246.22,0.03765867,246.22,,,0.85,-29.29,,7,2.809,39,3.703,-252.9
"2024-03-01 05:54:17.7","2024-03-01 09:01:03.614",32.488783,34.889824,246.31,0.1180004,246.31,,,0.85,-29.31,,7,2.652,38,3.701,-253
"2024-03-01 05:54:18.7","2024-03-01 09:01:03.615",32.488785,34.889824,246.26,0.09093571,246.26,,,0.82,-29.31,,8,2.537,38,3.697,-252.6
"2024-03-01 05:54:19.7","2024-03-01 09:01:03.615",32.488787,34.889823,246.21,0.03421798,246.21,,,0.8,-29.31,,8,2.445,37,3.695,-252.9
"2024-03-01 05:54:20.7","2024-03-01 09:01:03.616",32.488788,34.889823,246.24,0.02121779,246.24,,,0.79,-29.3,,8,2.371,38,3.697,-252.6
"2024-03-01 05:54:21.7","2024-03-01 09:01:03.616",32.488789,34.889822,246.4,0.02489728,246.4,,,0.81,-29.3,,8,2.307,37,3.695,-252.9
"2024-03-01 05:54:22.7","2024-03-01 09:01:03.617",32.488790,34.889822,246.33,0.02976615,246.33,,,0.82,-29.28,,8,2.248,38,3.695,-252.8
"2024-03-01 05:54:23.7","2024-03-01 09:01:03.618",32.488790,34.889821,246.28,0.02122062,246.28,,,0.83,-29.29,,8,2.189,38,3.695,-252.8
"2024-03-01 05:54:24.7","2024-03-01 09:01:03.618",32.488790,34.889820,246.32,0.02705252,246.32,,,0.83,-29.29,,8,2.141,38,3.697,-252.9
"2024-03-01 05:54:25.7","2024-03-01 09:01:03.619",32.488791,34.889820,246.12,0.02591291,246.12,,,0.83,-29.28,,8,2.1,38,3.697,-252.9
