PTimeUTC,PTimeIsr,PLat,PLong
2024-03-01 06:19:58.700,2024-03-01 08:19:58.700,32.486506,34.882315
2024-03-01 06:20:28.700,2024-03-01 08:20:28.700,32.488056,34.884054
2024-03-01 06:21:09.700,2024-03-01 08:21:09.700,32.490999,34.881987
2024-03-01 06:24:42.700,2024-03-01 08:24:42.700,32.493532,34.877346
2024-03-01 06:25:15.700,2024-03-01 08:25:15.700,32.492579,34.873341
2024-03-01 06:25:44.599,2024-03-01 08:25:44.599,32.494522,34.870573
2024-03-01 06:26:25.599,2024-03-01 08:26:25.599,32.493019,34.865478
2024-03-01 06:27:02.499,2024-03-01 08:27:02.499,32.495408,34.861889
2024-03-01 06:27:46.699,2024-03-01 08:27:46.699,32.493711,34.856832
2024-03-01 06:28:22.699,2024-03-01 08:28:22.699,32.495523,34.853084
2024-03-01 06:29:05.499,2024-03-01 08:29:05.499,32.493944,34.84835
2024-03-01 06:29:25.699,2024-03-01 08:29:25.699,32.494608,34.84699
2024-03-01 06:30:26.699,2024-03-01 08:30:26.699,32.492511,34.845323
2024-03-01 06:33:53.699,2024-03-01 08:33:53.699,32.487972,34.848628
2024-03-01 06:35:01.699,2024-03-01 08:35:01.699,32.491563,34.853285
2024-03-01 06:35:54.699,2024-03-01 08:35:54.699,32.488654,34.856406
2024-03-01 06:37:08.699,2024-03-01 08:37:08.699,32.492523,34.861073
2024-03-01 06:38:02.599,2024-03-01 08:38:02.599,32.490327,34.862657
2024-03-01 06:38:55.699,2024-03-01 08:38:55.699,32.493304,34.866357
2024-03-01 06:40:08.699,2024-03-01 08:40:08.699,32.488756,34.870769
2024-03-01 06:41:24.699,2024-03-01 08:41:24.699,32.49328,34.875192
2024-03-01 06:41:49.699,2024-03-01 08:41:49.699,32.492015,34.875951
2024-03-01 06:46:30.699,2024-03-01 08:46:30.699,32.498918,34.865482
2024-03-01 06:47:30.699,2024-03-01 08:47:30.699,32.496137,34.85852
2024-03-01 06:48:14.699,2024-03-01 08:48:14.699,32.49872,34.853699
2024-03-01 06:49:19.699,2024-03-01 08:49:19.699,32.49494,34.849671
2024-03-01 06:53:17.699,2024-03-01 08:53:17.699,32.502943,34.860235
2024-03-01 06:56:14.699,2024-03-01 08:56:14.699,32.492024,34.870762
2024-03-01 06:56:46.699,2024-03-01 08:56:46.699,32.493821,34.872434
2024-03-01 06:57:36.699,2024-03-01 08:57:36.699,32.490856,34.875219
2024-03-01 06:58:01.699,2024-03-01 08:58:01.699,32.492038,34.875682
