time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","VMG - Velocity Made Good","GPS Satellites","GPS HAcc","Battery Charge","Battery 1 Voltage","Battery 1 Temperature"
"2024-02-29 05:05:15.199","2024-02-29 08:32:02.772",32.490327,34.919219,7.49,4.429471,292.23,,,-134.71,-2.44,,4,8.805,34,3.674,-241.8
"2024-02-29 05:05:16.199","2024-02-29 08:32:02.773",32.490321,34.919148,344.29,4.38965,283.6,,,-134.54,-2.22,,4,7.004,34,3.676,-241.9
"2024-02-29 05:05:17.199","2024-02-29 08:32:02.773",32.490321,34.919132,323.89,4.631632,261.8,,,-132.27,-3.98,,4,5.934,33,3.668,-241.9
"2024-02-29 05:05:18.199","2024-02-29 08:32:02.774",32.490315,34.919289,299.2,4.973468,237.29,,,-131.28,-5.23,,4,7.594,34,3.672,-242
"2024-02-29 05:05:19.199","2024-02-29 08:32:02.775",32.490269,34.919321,281.47,5.238228,218.92,,,-130.53,-5.39,,4,7.141,34,3.672,-241.9
"2024-02-29 05:05:20.199","2024-02-29 08:32:02.776",32.490221,34.919301,267.04,5.361112,204.35,,,-131.29,-7.09,,5,4.641,34,3.674,-241.9
"2024-02-29 05:05:21.199","2024-02-29 08:32:02.776",32.490172,34.919283,261.14,5.442188,197.53,,,-131.08,-15.77,,5,4.578,34,3.674,-241.9
"2024-02-29 05:05:22.199","2024-02-29 08:32:02.777",32.490124,34.919243,264.32,5.547382,192.66,,,-130.02,-15.99,,5,4.477,34,3.674,-242
"2024-02-29 05:05:23.199","2024-02-29 08:32:02.777",32.490089,34.919200,301.47,5.656838,202.36,,,-134.59,1.07,,5,4.43,36,3.686,-242
"2024-02-29 05:05:24.199","2024-02-29 08:32:02.778",32.490046,34.919170,286.88,5.428979,212.73,,,-135.16,-4.88,,5,4.398,35,3.678,-241.9
"2024-02-29 05:05:25.199","2024-02-29 08:32:02.778",32.490003,34.919141,281.31,5.323637,210.08,,,-135.56,-4.36,,5,4.379,34,3.676,-241.9
"2024-02-29 05:05:26.199","2024-02-29 08:32:02.779",32.489954,34.919116,280.52,5.385942,206.19,,,-135.23,-6.43,,5,4.359,34,3.67,-241.9
"2024-02-29 05:05:27.199","2024-02-29 08:32:02.78",32.489905,34.919089,278.78,5.574182,202.51,,,-134.72,-6.8,,5,4.332,34,3.672,-241.9
"2024-02-29 05:05:28.199","2024-02-29 08:32:02.78",32.489854,34.919061,279.58,5.76825,201.53,,,-135.74,-7.8,,5,4.32,36,3.689,-242.1
"2024-02-29 05:05:29.199","2024-02-29 08:32:02.781",32.489804,34.919031,278.92,5.926512,202.24,,,-134.24,-6.67,,5,4.305,34,3.672,-241.9
"2024-02-29 05:05:30.199","2024-02-29 08:32:02.781",32.489745,34.919001,279.11,6.168491,202.79,,,-134.41,-6.56,,5,4.266,34,3.672,-241.9
"2024-02-29 05:05:31.199","2024-02-29 08:32:02.782",32.489689,34.918968,281.06,6.547733,202.32,,,-135.42,-6.37,,5,4.234,34,3.672,-241.9
"2024-02-29 05:05:32.199","2024-02-29 08:32:02.782",32.489634,34.918932,282.87,6.689849,203.18,,,-135.54,-8.16,,5,4.203,34,3.672,-241.9
"2024-02-29 05:05:33.199","2024-02-29 08:32:02.783",32.489577,34.918895,281.37,6.710766,203.71,,,-135.2,-6.94,,5,4.188,34,3.672,-242
"2024-02-29 05:05:34.199","2024-02-29 08:32:02.783",32.489518,34.918858,283.08,6.877619,204.85,,,-135.8,-6.75,,5,4.168,33,3.664,-242
"2024-02-29 05:05:35.199","2024-02-29 08:32:02.784",32.489461,34.918819,285.84,7.070641,205.53,,,-134.96,-7.77,,5,4.148,34,3.672,-241.9
"2024-02-29 05:05:36.199","2024-02-29 08:32:02.785",32.489403,34.918779,286.14,7.119811,206.65,,,-135.75,-5.63,,5,4.145,34,3.674,-242
"2024-02-29 05:05:37.199","2024-02-29 08:32:02.785",32.489344,34.918740,284.94,7.182105,207.16,,,-137.25,-5.45,,5,4.145,34,3.674,-241.9
"2024-02-29 05:05:38.199","2024-02-29 08:32:02.786",32.489284,34.918702,284.61,7.238154,206.46,,,-135.98,-7.22,,6,4.148,35,3.676,-242
"2024-02-29 05:05:39.199","2024-02-29 08:32:02.786",32.489221,34.918664,284.29,7.372674,205.49,,,-135.55,-7.19,,7,4.086,34,3.676,-242
"2024-02-29 05:05:40.199","2024-02-29 08:32:02.787",32.489161,34.918623,284.84,7.428076,204.86,,,-136.23,-9.02,,7,4.035,33,3.67,-241.9
"2024-02-29 05:05:41.199","2024-02-29 08:32:02.788",32.489101,34.918579,286.37,7.540589,206.13,,,-135.6,-9.51,,7,3.918,34,3.674,-242
"2024-02-29 05:05:42.199","2024-02-29 08:32:02.788",32.489044,34.918533,292.37,7.64518,208.96,,,-136.84,-7.25,,7,3.789,34,3.672,-241.9
"2024-02-29 05:05:43.199","2024-02-29 08:32:02.789",32.488986,34.918485,295.01,7.672809,212.47,,,-136.44,-3.49,,7,3.689,34,3.674,-242
