turn_index,turn_type,start_time,peak_time,end_time
1,Jibe,1709195517.793,1709195522.793,1709195527.793
2,Jibe,1709195517.793,1709195522.793,1709195527.793
3,Jibe,1709195517.847,1709195522.847,1709195527.847
4,Jibe,1709195517.896,1709195522.896,1709195527.896
5,Jibe,1709195517.924,1709195522.924,1709195527.924
6,Jibe,1709195517.924,1709195522.924,1709195527.924
7,Jibe,1709195517.94,1709195522.94,1709195527.94
8,Jibe,1709195517.983,1709195522.983,1709195527.983
9,Jibe,1709195519.964,1709195524.964,1709195529.964
10,Jibe,1709195520.014,1709195525.014,1709195530.014
11,Jibe,1709195520.033,1709195525.033,1709195530.033
12,Tack,1709195520.091,1709195525.091,1709195530.091
13,Tack,1709195520.129,1709195525.129,1709195530.129
14,Jibe,1709195520.467,1709195525.467,1709195530.467
15,Jibe,1709195520.483,1709195525.483,1709195530.483
16,Jibe,1709195520.52,1709195525.52,1709195530.52
17,Jibe,1709195520.545,1709195525.545,1709195530.545
18,Jibe,1709195520.583,1709195525.583,1709195530.583
19,Jibe,1709195520.596,1709195525.596,1709195530.596
20,Jibe,1709195520.607,1709195525.607,1709195530.607
21,Tack,1709195520.715,1709195525.715,1709195530.715
22,Tack,1709195520.749,1709195525.749,1709195530.749
23,Tack,1709195520.783,1709195525.783,1709195530.783
24,Jibe,1709195520.798,1709195525.798,1709195530.798
25,Tack,1709195520.866,1709195525.866,1709195530.866
26,Tack,1709195520.888,1709195525.888,1709195530.888
27,Tack,1709195520.914,1709195525.914,1709195530.914
28,Tack,1709195520.956,1709195525.956,1709195530.956
29,Tack,1709195520.991,1709195525.991,1709195530.991
30,Tack,1709195521.125,1709195526.125,1709195531.125
31,Jibe,1709195521.304,1709195526.304,1709195531.304
32,Jibe,1709195521.324,1709195526.324,1709195531.324
33,Jibe,1709195521.343,1709195526.343,1709195531.343
34,Jibe,1709195521.362,1709195526.362,1709195531.362
35,Jibe,1709195521.381,1709195526.381,1709195531.381
36,Jibe,1709195521.4,1709195526.4,1709195531.4
37,Jibe,1709195521.418,1709195526.418,1709195531.418
38,Jibe,1709195521.437,1709195526.437,1709195531.437
39,Jibe,1709195521.458,1709195526.458,1709195531.458
40,Jibe,1709195521.474,1709195526.474,1709195531.474
41,Jibe,1709195521.492,1709195526.492,1709195531.492
42,Jibe,1709195521.507,1709195526.507,1709195531.507
43,Tack,1709195521.681,1709195526.681,1709195531.681
44,Tack,1709195521.72,1709195526.72,1709195531.72
45,Tack,1709195521.762,1709195526.762,1709195531.762
46,Tack,1709195521.796,1709195526.796,1709195531.796
47,Tack,1709195521.836,1709195526.836,1709195531.836
48,Tack,1709195521.875,1709195526.875,1709195531.875
49,Tack,1709195521.889,1709195526.889,1709195531.889
50,Tack,1709195522.254,1709195527.254,1709195532.254
51,Tack,1709195522.313,1709195527.313,1709195532.313
52,Jibe,1709195522.525,1709195527.525,1709195532.525
53,Tack,1709195522.601,1709195527.601,1709195532.601
54,Tack,1709195522.612,1709195527.612,1709195532.612
55,Jibe,1709195522.62,1709195527.62,1709195532.62
56,Jibe,1709195522.63,1709195527.63,1709195532.63
57,Tack,1709195522.647,1709195527.647,1709195532.647
58,Tack,1709195522.661,1709195527.661,1709195532.661
59,Jibe,1709195522.666,1709195527.666,1709195532.666
60,Jibe,1709195522.685,1709195527.685,1709195532.685
61,Tack,1709195522.7,1709195527.7,1709195532.7
62,Tack,1709195522.711,1709195527.711,1709195532.711
63,Jibe,1709195522.718,1709195527.718,1709195532.718
64,Jibe,1709195522.728,1709195527.728,1709195532.728
65,Tack,1709195522.741,1709195527.741,1709195532.741
66,Tack,1709195522.754,1709195527.754,1709195532.754
67,Jibe,1709195522.766,1709195527.766,1709195532.766
68,Jibe,1709195522.776,1709195527.776,1709195532.776
69,Tack,1709195522.787,1709195527.787,1709195532.787
70,Tack,1709195522.794,1709195527.794,1709195532.794
71,Jibe,1709195522.799,1709195527.799,1709195532.799
72,Jibe,1709195522.804,1709195527.804,1709195532.804
73,Tack,1709195522.895,1709195527.895,1709195532.895
74,Tack,1709195522.907,1709195527.907,1709195532.907
75,Jibe,1709195522.917,1709195527.917,1709195532.917
76,Jibe,1709195522.925,1709195527.925,1709195532.925
77,Tack,1709195522.935,1709195527.935,1709195532.935
78,Tack,1709195522.95,1709195527.95,1709195532.95
79,Jibe,1709195522.958,1709195527.958,1709195532.958
80,Jibe,1709195522.965,1709195527.965,1709195532.965
