,turn_type,start_time,peak_time,end_time
0,Jibe,2024-03-01 06:15:21.700,2024-03-01 06:15:26.700,2024-03-01 06:15:31.700
1,Tack,2024-03-01 06:17:32.700,2024-03-01 06:17:37.700,2024-03-01 06:17:42.700
2,Tack,2024-03-01 06:19:56.700,2024-03-01 06:20:01.700,2024-03-01 06:20:06.700
3,Jibe,2024-03-01 06:24:39.700,2024-03-01 06:24:44.700,2024-03-01 06:24:49.700
4,Jibe,2024-03-01 06:25:12.700,2024-03-01 06:25:17.700,2024-03-01 06:25:22.700
5,Jibe,2024-03-01 06:25:40.499,2024-03-01 06:25:45.699,2024-03-01 06:25:50.699
6,Jibe,2024-03-01 06:26:22.699,2024-03-01 06:26:27.699,2024-03-01 06:26:32.699
7,Jibe,2024-03-01 06:26:58.399,2024-03-01 06:27:03.699,2024-03-01 06:27:08.699
8,Jibe,2024-03-01 06:27:43.499,2024-03-01 06:27:48.699,2024-03-01 06:27:53.699
9,Jibe,2024-03-01 06:28:17.699,2024-03-01 06:28:22.699,2024-03-01 06:28:27.699
10,Jibe,2024-03-01 06:29:02.699,2024-03-01 06:29:07.699,2024-03-01 06:29:12.699
11,Jibe,2024-03-01 06:29:21.699,2024-03-01 06:29:26.699,2024-03-01 06:29:31.699
12,Tack,2024-03-01 06:33:46.699,2024-03-01 06:33:51.699,2024-03-01 06:33:56.599
13,Tack,2024-03-01 06:34:57.699,2024-03-01 06:35:02.699,2024-03-01 06:35:07.699
14,Tack,2024-03-01 06:35:49.699,2024-03-01 06:35:54.699,2024-03-01 06:35:59.599
15,Tack,2024-03-01 06:37:58.499,2024-03-01 06:38:03.699,2024-03-01 06:38:08.699
16,Tack,2024-03-01 06:38:52.699,2024-03-01 06:38:57.699,2024-03-01 06:39:02.699
17,Tack,2024-03-01 06:40:04.699,2024-03-01 06:40:09.699,2024-03-01 06:40:14.699
18,Tack,2024-03-01 06:41:18.699,2024-03-01 06:41:23.499,2024-03-01 06:41:28.699
19,Jibe,2024-03-01 06:46:25.699,2024-03-01 06:46:30.699,2024-03-01 06:46:35.699
20,Jibe,2024-03-01 06:47:27.699,2024-03-01 06:47:32.499,2024-03-01 06:47:37.699
21,Jibe,2024-03-01 06:48:10.699,2024-03-01 06:48:15.699,2024-03-01 06:48:20.699
22,Tack,2024-03-01 06:53:10.699,2024-03-01 06:53:15.699,2024-03-01 06:53:20.699
23,Tack,2024-03-01 06:56:07.699,2024-03-01 06:56:12.699,2024-03-01 06:56:17.699
24,Tack,2024-03-01 06:56:41.699,2024-03-01 06:56:46.699,2024-03-01 06:56:51.699
25,Tack,2024-03-01 06:57:29.699,2024-03-01 06:57:34.699,2024-03-01 06:57:39.699
26,Jibe,2024-03-01 07:05:15.699,2024-03-01 07:05:20.699,2024-03-01 07:05:25.699
27,Tack,2024-03-01 07:07:17.400,2024-03-01 07:07:22.700,2024-03-01 07:07:27.700
28,Jibe,2024-03-01 07:08:29.700,2024-03-01 07:08:34.700,2024-03-01 07:08:39.400
29,Jibe,2024-03-01 07:08:31.700,2024-03-01 07:08:36.700,2024-03-01 07:08:41.700
30,Jibe,2024-03-01 07:08:32.700,2024-03-01 07:08:37.700,2024-03-01 07:08:42.700
31,Tack,2024-03-01 07:09:55.700,2024-03-01 07:10:00.700,2024-03-01 07:10:05.500
32,Tack,2024-03-01 07:10:40.700,2024-03-01 07:10:45.700,2024-03-01 07:10:50.600
33,Jibe,2024-03-01 07:11:15.700,2024-03-01 07:11:20.700,2024-03-01 07:11:25.700
34,Tack,2024-03-01 07:12:40.700,2024-03-01 07:12:45.400,2024-03-01 07:12:50.700
35,Jibe,2024-03-01 07:13:51.700,2024-03-01 07:13:56.700,2024-03-01 07:14:01.700
36,Jibe,2024-03-01 07:14:24.700,2024-03-01 07:14:29.700,2024-03-01 07:14:34.700
37,Tack,2024-03-01 07:15:39.700,2024-03-01 07:15:44.700,2024-03-01 07:15:49.700
38,Jibe,2024-03-01 07:16:44.700,2024-03-01 07:16:49.700,2024-03-01 07:16:54.700
39,Jibe,2024-03-01 07:17:05.700,2024-03-01 07:17:10.700,2024-03-01 07:17:15.700
40,Tack,2024-03-01 07:17:54.700,2024-03-01 07:17:59.700,2024-03-01 07:18:04.700
41,Tack,2024-03-01 07:18:52.700,2024-03-01 07:18:57.700,2024-03-01 07:19:02.600
42,Jibe,2024-03-01 07:19:29.700,2024-03-01 07:19:34.700,2024-03-01 07:19:39.500
43,Tack,2024-03-01 07:21:26.700,2024-03-01 07:21:31.700,2024-03-01 07:21:36.700
44,Jibe,2024-03-01 07:22:41.700,2024-03-01 07:22:46.700,2024-03-01 07:22:51.700
45,Jibe,2024-03-01 07:23:09.700,2024-03-01 07:23:14.700,2024-03-01 07:23:19.700
46,Tack,2024-03-01 07:23:51.700,2024-03-01 07:23:56.700,2024-03-01 07:24:01.700
47,Tack,2024-03-01 07:24:51.700,2024-03-01 07:24:56.700,2024-03-01 07:25:01.700
48,Jibe,2024-03-01 07:25:30.700,2024-03-01 07:25:35.700,2024-03-01 07:25:40.700
49,Jibe,2024-03-01 07:25:31.700,2024-03-01 07:25:36.700,2024-03-01 07:25:41.700
50,Jibe,2024-03-01 07:25:32.700,2024-03-01 07:25:37.700,2024-03-01 07:25:42.700
51,Tack,2024-03-01 07:37:30.700,2024-03-01 07:37:35.700,2024-03-01 07:37:40.700
52,Tack,2024-03-01 07:38:02.400,2024-03-01 07:38:07.700,2024-03-01 07:38:12.700
53,Jibe,2024-03-01 07:38:27.700,2024-03-01 07:38:32.700,2024-03-01 07:38:37.700
54,Jibe,2024-03-01 07:39:08.700,2024-03-01 07:39:13.700,2024-03-01 07:39:18.700
55,Jibe,2024-03-01 07:42:37.700,2024-03-01 07:42:42.700,2024-03-01 07:42:47.700
56,Jibe,2024-03-01 07:44:34.700,2024-03-01 07:44:39.700,2024-03-01 07:44:44.700
57,Tack,2024-03-01 07:45:30.700,2024-03-01 07:45:35.700,2024-03-01 07:45:40.700
58,Tack,2024-03-01 07:45:50.700,2024-03-01 07:45:55.700,2024-03-01 07:46:00.700
59,Jibe,2024-03-01 07:46:12.700,2024-03-01 07:46:17.700,2024-03-01 07:46:22.600
60,Jibe,2024-03-01 07:46:51.700,2024-03-01 07:46:56.700,2024-03-01 07:47:01.700
61,Jibe,2024-03-01 07:48:14.699,2024-03-01 07:48:19.699,2024-03-01 07:48:24.699
62,Tack,2024-03-01 07:49:17.699,2024-03-01 07:49:22.699,2024-03-01 07:49:27.699
63,Jibe,2024-03-01 07:50:14.699,2024-03-01 07:50:19.699,2024-03-01 07:50:24.599
64,Tack,2024-03-01 07:53:38.699,2024-03-01 07:53:43.699,2024-03-01 07:53:48.699
65,Tack,2024-03-01 07:53:58.699,2024-03-01 07:54:03.699,2024-03-01 07:54:08.699
66,Jibe,2024-03-01 07:54:15.699,2024-03-01 07:54:20.699,2024-03-01 07:54:25.699
67,Jibe,2024-03-01 07:54:56.699,2024-03-01 07:55:01.699,2024-03-01 07:55:06.699
68,Tack,2024-03-01 07:57:15.699,2024-03-01 07:57:20.699,2024-03-01 07:57:25.699
69,Jibe,2024-03-01 07:58:18.699,2024-03-01 07:58:23.699,2024-03-01 07:58:28.699
70,Tack,2024-03-01 08:13:49.699,2024-03-01 08:13:54.699,2024-03-01 08:13:59.699
71,Jibe,2024-03-01 08:15:18.699,2024-03-01 08:15:23.699,2024-03-01 08:15:28.699
72,Jibe,2024-03-01 08:16:12.699,2024-03-01 08:16:17.699,2024-03-01 08:16:22.599
73,Jibe,2024-03-01 08:16:13.699,2024-03-01 08:16:18.499,2024-03-01 08:16:23.699
74,Tack,2024-03-01 08:17:12.699,2024-03-01 08:17:17.699,2024-03-01 08:17:22.699
75,Jibe,2024-03-01 08:18:45.699,2024-03-01 08:18:50.699,2024-03-01 08:18:55.699
76,Jibe,2024-03-01 08:19:33.699,2024-03-01 08:19:38.699,2024-03-01 08:19:43.699
77,Jibe,2024-03-01 08:19:51.599,2024-03-01 08:19:56.699,2024-03-01 08:20:01.699
78,Tack,2024-03-01 08:25:55.699,2024-03-01 08:26:00.699,2024-03-01 08:26:05.699
79,Tack,2024-03-01 08:26:36.700,2024-03-01 08:26:41.700,2024-03-01 08:26:46.700
80,Jibe,2024-03-01 08:27:05.700,2024-03-01 08:27:10.700,2024-03-01 08:27:15.700
81,Jibe,2024-03-01 08:27:53.700,2024-03-01 08:27:58.700,2024-03-01 08:28:03.600
82,Tack,2024-03-01 08:29:33.700,2024-03-01 08:29:38.700,2024-03-01 08:29:43.700
83,Jibe,2024-03-01 08:32:22.700,2024-03-01 08:32:27.700,2024-03-01 08:32:32.700
